"ITEM","CATEGORY","AVAILABLE","PRICE","STATUS","PRODUCER","TITLE SPANISH","UNIT QUANTITY","UNIT","SCHEDULES","SEASON","IS CREDIT","PACK SEPARATELY","PACKING TYPE","MAX PER MEMBER","IMAGE URL","DESCRIPTION","LINK","WEIGHT"
"GUD Steak OTW","Share","9996","20","Published","Something GUD","","1","delivery","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/7uuJEau1QLLn2jRfzgvG7MrvYJOViU2nYr-3sSdJFeI=w576-h432-no","We've encountered some wonderful farms during our travels and we feel it’s our responsibility to support as many as we can. 

With this share, we will cycle through our favorite local beef farms and supply you with a delicious grass-fed, local steak each week.

A couple of our favorites include Grass Roots Farm in New Braintree, MA, Lilac Hedge Farm in Berlin, MA and Misty Brook Farm in Eliot, ME.
",,
"GUD Beef & Pork Share ","Share","9996","45","Published","Something GUD","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/MEbcUt0d3LLvFU0Yq9wWsBI4wFfwVI1sai39EwlqZEI=w615-h445-no","This share is our take on the CSA Meat Share. 

Sign-up to receive a medley of beef & pork items. 

Recent deliveries have included Steak Tips, Ground Beef, Pork Chops, Sausages and more. 

As always, all Local!",,
"Valicenti Organico: Pasta OTW","Share","9996","7.5","Published","Valicenti Organico","","1","Item","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh6.googleusercontent.com/CDebJpv0vb3LfWM8r19g9wRx7UD9Rjtud5O9pXFs4dc=w637-h478-no","Chef Owners Dave and Michelle Valicenti have been passionate about food since childhood. Both began cooking at an early age and have always worked in the culinary field – together they have over 40 years of experience cooking and baking in the restaurant industry. Inspired to continue his family’s tradition, Dave and his wife Michelle founded Valicenti Organico to grow their own and produce delicious, fresh, gourmet pastas and sauces in the same place Dave’s family has lived for more than 35 years",,
"Valicenti Organico: Red Gravy","Share","9999","10","Published","Valicenti Organico","","1","Jar","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/qPSH7drIcy5hEP18Z1BScOGLRcEYqqWjvGtTFVjZp1g=w640-h396-no","Purchase this share to receive Valicenti Organico's incredible ""Red Gravy"" Tomato Basil Sauce. Red Gravy is made with their very own organic tomatoes and basil. 
",,
"The Cheese Sampler","Share","10002","25","Published","Something GUD","","1","","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/WB0DvfthEnDvzbeOn50x78C6yiVxXN5DZz_0qsuSopA=w583-h389-no","Our cheese box offers a variety of local artisan cheeses. Some of our popular cheese makers include Fiore di Nonno, Robinson Farm, Smith Cheese, Brookford Farm and Naragansett Creamery.

Sign up for our share to receive a recurring weekly order of our selected options every week.",,
"Daniele, Inc. - Grab Pack","Share","9996","15","Published","Daniele, Inc.","","3","Items","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-rrS5lUuSrhs/UnvJgc9vjbI/AAAAAAAAADo/istdubRiNlU/s602-no/photo%25281%2529.JPG","Sign-up for our Daniele Grab Pack share to receive a sampler of Daniele, Inc.'s latest local line. Daniele has been a leader in charcuterie for more then 3 decades and have brought their expertise local. 

Share will include combination of delicious locally sourced charcuterie: salame milano, sopressata, prosciutto, uncured pancetta, chorizo and hot capicollo!


",,
"Alex's UGLY Sauce","Share","10000","9.99","Draft","Alex's UGLY Sauce","","1","Item","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/oTuuPnThjXVU6uTl2USj5EWR62fsMGphUTQhUp-8JEc=w637-h478-no","Sign up for our Hot Sauce of the Week!

Alex's Ugly Sauce comes to you in 4 different blends, all natural and all delicious.

Alex's Ugly Sauce has developed a truly special base of beets, honey, onions and garlic to give all of their sauces real taste and flavor. They add a whole bunch of hot peppers to give the sauce its distinctive heat. They vary the types of peppers used in the sauces to control the heat level for each variety. Best of all: Alex's Ugly Sauce uses only Massachusetts-grown hot peppers from Stillman's Farm!

Flavors include Milder, Original, Habanero and Dragon!





",,
"Fazenda Coffee (Medium Roast)","Share","21","11.95","Published","Something GUD","","12","oz","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/z4GZcChXrwqXxE6e4e4r1A5P1TngVoojDK-2v9RCcQ=w335-h343-no","",,
"Q's Nuts - Unsweetened","Share","10001","11","Draft","Q's Nuts","","3","Items","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/-FofcHCxZL_A/UkuQX1txQrI/AAAAAAAAAxc/EswwIRzxnxA/w300-h225-no/qs-nuts.jpg","Sign-up for our Q's Nuts - 3 Pack (unsweetened) share to receive a weekly selection of Q's amazing, unsweetened recipes.

",,
"Fazenda Coffee (Dark Roast)","Share","24","11.95","Published","Something GUD","","12","oz","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/z4GZcChXrwqXxE6e4e4r1A5P1TngVoojDK-2v9RCcQ=w335-h343-no","",,
"Q's Nuts: Sweet","Share","9999","11","Published","Q's Nuts","","3","bag","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/-FofcHCxZL_A/UkuQX1txQrI/AAAAAAAAAxc/EswwIRzxnxA/w300-h225-no/qs-nuts.jpg","Sign-up for our Q's Nuts - 3 Pack (Sweet) share to receive a weekly selection of Q's amazing, original roasted recipes. A favorite item of the team, Q's Red Label combines traditional Bavarian flavors of cinnamon + vanilla. Yum.
",,
"Q's Nuts: Savory","Share","9998","11","Published","Q's Nuts","","3","Items","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/JVdyxBwt2onLFLzOChAevmuvKd_l2iZ46aufrDveu9c=w475-h318-no","Sign-up for our Q's Nuts - 3 Pack (Savory) share to receive a weekly selection of Q's amazing, savory themed roasted nuts. 

https://www.smallbusinessbiggame.com/MA/Qs-NutsLLC/379772",,
"Taza: Classic Disc of the Week","Share","10003","5","Published","Taza Chocolate","","1","Items","Weekly","GUD Food Shares",,,"PHYSICAL","10","http://www.tazachocolate.com/graphics/userUploads/products/MixedClassicLG.png","Taza uses Oaxacan stone mills to craft full-flavored, stone ground chocolate. Enjoy as is, or as traditional Mexican hot chocolate!

Sign-up for our classic disc of the week and receive one of Taza's special classic discs with your order. Taza's classic line includes Guajillo Chili, Cinnamon, Vanilla Bean, Salted Almond, Coffee and Salt + Pepper.
",,
"Taza: Dark Disc of the Week","Share","9997","5","Published","Taza Chocolate","","1","Item","Weekly","GUD Food Shares",,,"PHYSICAL","10","http://www.tazachocolate.com/graphics/userUploads/products/MixedDarkLG.png","Taza uses Oaxacan stone mills to craft full-flavored, stone ground chocolate. Enjoy as is, or as traditional Mexican hot chocolate!

Sign-up for our dark disc of the week and receive one of Taza's special 70% dark discs with your order. Taza's dark line includes smoky Chipotle, fragrant Ginger, sweet-tart Orange, and our simplest chocolate, Cacao Puro",,
"Fiore di Nonno: Mozzarella OTW","Share","10007","7.5","Published","Fiore di Nonno","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh5.googleusercontent.com/-E7cvpFCrVUE/Ukw6J58rGNI/AAAAAAAAAys/TbdwFLkc11o/w721-h478-no/1280px-Fiore_di_Nonno_Burrata_cheese.jpg","Award-winning mozzarella originals.

Choose our share to receive our mozzarella selection of the week.

After you create your account you can visit our webstore from your account page. Visit the ""Fiore di Nonno"" tab to select from a full range of unique and mozzarella products.",,
"End Of Trial Promotion - READ","Share","1002","0","Draft","Something GUD","","1","","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-gIJQ3HvmMNw/UgDsyR60_JI/AAAAAAAAAc0/qLZ2E7cKYIM/w205-h103-no/photo.jpg","We offer the Trial Box Promotional pack for one-time purchase. Following reception of your Trial Box your subscription will be switched over to this selection.

From here, you are free to select from our full offerring of wonderful food and drinks for local foodmakers and farms.

Our Shares are available for recurring purchase and our webstore items are available for individual weekly purchase (see the top right of your acount to access!)",,
"Robinson Farm: Farmstead Cheese OTW","Share","10000","10.95","Published","Robinson Farm","","1","Item","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-7wq_mY285bc/UhJnzARWzkI/AAAAAAAAATM/XEZATP-pijE/w205-h140-no/Screen+Shot+2013-08-19+at+2.44.51+PM.png","Choose our Robinson Farm share to receive the Robinson cheese selection of the week. 

Robinson Farm produces their artisanal raw milk cheese using their own grass fed organic cow's milk.

They currently have five unique farmstread cheeses: Robinson Family Swiss, Tekenink Tomme, Hardwick Stone, Prescott & a Barndance. Visit our webstore for full selection!",,
"Naragansett Creamery","Share","94","12.95","Published","Naragansett Creamery","","2","Items","Brooklyn Boulders: Thursday Pickup|Weekly","GUD Food Shares",,,"PHYSICAL","10","http://www.richeeses.com/item/519d9d3fe4b0fe95295bb5cb?format=1500w","Award-Winning Artisan Cheeses made in Providence, Rhode Island.

Our share will include a combination of Naragansett Creamery's Award Winning Cheeses such as Atwells Gold (Italian Style), Renaissance Ricotta (#1 in the World), Salty Sea Feta (Gold Medal Winner) and Queso Blanco.

Learn more about their products here: http://www.richeeses.com/

",,
"Two Guys in Vermont: 3 Pack","Share","10007","15","Published","Two Guys in Vermont","","3","Items","Weekly","GUD Food Shares",,,"PHYSICAL","10","http://twoguysinvermont.com/wp-content/uploads/2011/04/soups-2-900x698.png","Our plant-based all natural soups are cooked in small batches for rich flavor and texture.
Try our soups with a salad and crusty bread for a satisfying meal. Delicious with your favorite sandwich or paired with something more exotic. Makes a fulfilling meal, side-dish or healthful snack. Just heat, eat and enjoy!
Glass does not contain Bisphenol A (BPA) and is reusable and recyclable.
We use fresh ingredients.
No artificial anything.
Minimal processing retains flavor and nutrients, and uses less energy.",,
"Lifeforce Juice: Green Pack","Share","9995","25","Published","Lifeforce Juice","","3","Items","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/J-RSd8qAenMWeuKGZcKHMCF3dD-xSRUVZlpFWtfyzHA=w656-h455-no","Cold pressed (not pasturized) are nutritious and delicious. You can get 5+ fruit and vegatable servings in just a single 8 oz. juice! Life Force uses the top local produce for their wonderful creations.

Select this share to receive a variety 3 Pack of Life Force's weekly creations.",,
"Lifeforce Juice: Vibrant Green","Share","9995","9","Published","Lifeforce Juice","","12","oz","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/J-RSd8qAenMWeuKGZcKHMCF3dD-xSRUVZlpFWtfyzHA=w656-h455-no","Cold pressed (not pasturized) are nutritious and delicious. You can get 5+ fruit and vegatable servings in just a single 8 oz. juice! Life Force uses the top local produce for their wonderful creations.

Select this share to receive Life Force signature green drink.
",,
"Honu's Hearth: Kale Chips","Share","10002","6","Published","Honu's Hearth","","1","bag","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh3.googleusercontent.com/pum3pzntxYoM6NsJDkmmM8Fthc5AHr53Q7FrIfQYNqg=w1131-h848-no","Sign up for our Honu's Heart - Kale Chips share for a recurring order of Honu's delicious (and healthy!) kale chips.  All of Honu's Hearth products are raw, vegan, sprouted and gluten-free (made in non-certified gluten-free kitchen).

Love yourself with every bite!",,
"Honu's Hearth: Vegetable Crackers","Share","10001","8.99","Published","Honu's Hearth","","1","bag","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh6.googleusercontent.com/-CyWNQJO0QE8/Uk1VkVb54pI/AAAAAAAAA2w/h1c3XDAEnWw/w637-h478-no/photo+%25285%2529.JPG","Sign up for our Honu's Heart - Gourmet Crackers share for a recurring order of Honu's amazing & unique raw, gourmet crackers. All of Honu's products are raw, sprouted, gluten-free (made in non-certified gluten free ktichen) and vegan.

Varieties include: Tomato Basil, Sage Pickle & Ginger Carrot.

Love yourself with every bite!",,
"Sprouted Raw: Snack Pack","Share","9999","10.95","Published","Sprouted Raw Foods","","2","Items","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh6.googleusercontent.com/3YmtBvTfRo-m2oxUvCKiO9JBH0XpfIXMZv1Y-CyhhX0=s355-no","Local, vegan, raw, organic, free of dairy, eggs and grains. With Sprouted Raw Foods Treats you can eat healthy and enjoy decadent treats at the same time. Uncompromising in quality, crackers and treats are handmade with high quality ingredients that nourish and satisfy. 

Grab some treats to go as a healthy quick breakfast or relax and savor them with your afternoon tea. The Flax Seed Crackers are seasoned with creative blends of organic spices and herbs. 
",,
"21st Century Foods: Tofu","Share","9999","3","Published","Something GUD","","1","Pound","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/-u7xzcHX77nM/UaQJfGkjokI/AAAAAAAAAGY/QHp9oxGvCYw/w205-h140-no/tofu.jpg","Believe it or not, you can find locally sourced and produced Tofu around Boston. We'll hook you up.",,
"Violette GF: Personal (Sweet)","Share","9998","25","Published","Violette","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-9ZuMD4f6p8I/UmbDdCEED1I/AAAAAAAABD4/FN8ad8T5FAs/s650-no/photo+%25287%2529.JPG","Violette hand mills all of their flour and uses fresh, local, and organic ingredients to bring you the best tasting gluten free product imagineable.

Contents (subject to change): 2 cupcakes, 4 cookies, 1 bar (crumb, bread pudding, congo bar), 1 sm. bundt/slice of cake/pie.

PLEASE NOTE: In order to accomodate this request we MUST be notified on Tuesday prior to your weekend delivery (info@somethinggud.com). Once we have you setup for this share we can make it a recurring order.

",,
"Violette GF: Family (Sweet)","Share","10000","55","Published","Violette","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-9ZuMD4f6p8I/UmbDdCEED1I/AAAAAAAABD4/FN8ad8T5FAs/s650-no/photo+%25287%2529.JPG","We are really excited to have added Violette to our platform.

Sign up for this weekly share to get a family-sized, weekly selection of Violette's incredible fresh, local, organic baked goods.

Please Note - In order to accomodate this request we MUST be notified on Tuesday prior to your weekend delivery (info@somethinggud.com). Once we have you setup for this share we can make it a recurring order should you wish.",,
"Violette GF: Personal (Savory)","Share","9999","35","Published","Violette","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-9ZuMD4f6p8I/UmbDdCEED1I/AAAAAAAABD4/FN8ad8T5FAs/s650-no/photo+%25287%2529.JPG","Violette hand mills all of their flour and uses fresh, local, and organic ingredients to bring you the best tasting gluten free product imagineable. 

Contents (subject to change): 1 Vegetable Pot Pie, 1 Empanada, 1 tart, 1 small loaf of bread, 1 pack english muffins.

PLEASE NOTE: In order to accomodate this request we MUST be notified on Tuesday prior to your weekend delivery (info@somethinggud.com). Once we have you setup for this share we can make it a recurring order.",,
"Violette GF: Family (Savory)","Share","10000","65","Published","Violette","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-9ZuMD4f6p8I/UmbDdCEED1I/AAAAAAAABD4/FN8ad8T5FAs/s650-no/photo+%25287%2529.JPG","Violette hand mills all of their flour and uses fresh, local, and organic ingredients to bring you the best tasting gluten free product imagineable.

Sign up for this weekly share to get a weekly, family sized selection of Violette's incredible fresh, local, organic baked goods.

NOTE: In order to accomodate this request we MUST be notified on Tuesday prior to your weekend delivery (info@somethinggud.com). Once we have you setup for this share we can make it a recurring order.",,
"Deborah's Kitchen: Spreadable Fruit","Share","10001","8","Published","Deborah's Kitchen","","1","Jar","Brooklyn Boulders: Thursday Pickup|Weekly","GUD Food Shares",,,"PHYSICAL","10","http://www.deborahskitchen.com/volusion/FB_9.jpg","While most jams and preserves today use two thirds refined sugar or high fructose corn syrup, Deborah uses two thirds fruit, all natural sugar and no preservatives. 

Sign-up for our share to guarantee a weekly delivery.

Individual options are available for one-time purchase each week in our webstore.

",,
"Carlisle Honey","Share","9999","9.5","Published","Carlisle Honey","","1","Jar","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/n-t9rsvkoP8tGRZBQ45N0u0Bl2fQpp0YeImoEduWazQ=w407-h387-no","100% Pure Raw Honey just the way the Bees made it!

Sign-Up for our Carlisle Honey share to receive a jar of Massachusett's finest raw pure honey.

What's the difference between this honey and the honey at your local supermarket? Well, everything. See for yourself: http://www.carlislehoney.com/raw-beekeeper-honey.htm 


",,
"Evy Tea","Share","23","7.95","Published","Evy Tea","","1","share","Brooklyn Boulders: Thursday Pickup|Weekly","GUD Food Shares",,,"PHYSICAL","10","http://evytea.com/wp-content/uploads/2013/06/Evy_Scriptina_11_Narrowed-300x124.png","We are really excited to introduce Evy Tea to the Something GUD platform. Our share includes 1 bottle each of Evy's award winning cold-brew teas. The share will rotate between:

(1) Moonlight: White Tea with Apricot and Jasmine
(1) Amber: Oolong Tea with Rosemary and Orange Zest 

Visit Evy's gorgeous website to learn more: http://evytea.com/",,
"Bee Fields Farm: Herbal Tea OTW","Share","29","15","Published","Bee Fields Farm","","3","oz","Weekly","GUD Food Shares",,,"PHYSICAL","500","http://www.beefieldsfarm.com/sites/default/files/uploads/Images/logosm.jpg","Bee Fields Farm in Enfield, New Hampshire is a small family run herb farm. They grow all of the ingredients that go into their tea. Select this share to receive our Bee Fields loose-leaf tea of the week. 

NEW - 3 OZ. BAGS OF LOCAL TEA!",,
"BONFIRE: Box for Two (Paleo Friendly)","Share","10006","100","Draft","Something GUD","","1","bag","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/-KDAeoFl_PAg/UlLQoSGueBI/AAAAAAAAA9k/vD9-y6k_Z7Y/w162-h227-no/Bonfire-Health-FLAME-ONLY.jpg","This Paleo friendly box of the week contains a hand-picked selection of local meats, fruits, veggies, snacks. This share is consistent with the Bonfire Health diet from bonfirehealth.com and ideal for cross fitters and other paleo focused individuals.

Sign-up now for a recurring weekly home delivery. Going away from the week? Not a problem, our platform is designed to give you as much flexibility as you desire, simply put your order on hold for the week.

Additional questions? Please email info@somethinggud.com",,
"Shaw Farm Milk (Whole)","Share","9990","3","Published","Something GUD","","1","Quart","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh4.googleusercontent.com/cVwWiCG5loh-dFI1Tng_RSpwh9Ar9J1X_rvFZ9UumyQ=w300-h207-no","New England Organic Creamery is the new product line from Shaw Farm, a 100 year old family operated dairy farm in Dracut, MA. Since 1908, the Shaw family has been farming in the Merrimack Valley, growing feed for the cows, and producing milk for local customers that support local and fresh farm products.",,
"Shaw Farm Milk (Reduced Fat)","Share","9981","3","Published","Something GUD","","1","Quart","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh4.googleusercontent.com/cVwWiCG5loh-dFI1Tng_RSpwh9Ar9J1X_rvFZ9UumyQ=w300-h207-no","New England Organic Creamery is the new product line from Shaw Farm, a 100 year old family operated dairy farm in Dracut, MA. Since 1908, the Shaw family has been farming in the Merrimack Valley, growing feed for the cows, and producing milk for local customers that support local and fresh farm products.",,
"Shaw Farm Milk (Skim)","Share","9986","3","Published","Something GUD","","1","Quart","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh4.googleusercontent.com/cVwWiCG5loh-dFI1Tng_RSpwh9Ar9J1X_rvFZ9UumyQ=w300-h207-no","New England Organic Creamery is the new product line from Shaw Farm, a 100 year old family operated dairy farm in Dracut, MA. Since 1908, the Shaw family has been farming in the Merrimack Valley, growing feed for the cows, and producing milk for local customers that support local and fresh farm products.
",,
"Breakfast Pastries","Share","9996","6","Published","Something GUD","","2","Items","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh5.googleusercontent.com/-VgKsd1ew068/UZGf4l7YEdI/AAAAAAAAADY/gng2DUBotLo/w205-h140-no/breakfast_pastries.jpeg","Sign-Up for a weekly delivery of carefully selected breakfast pastries. We'll mix it up and keep the local breakfast surprises coming!

Usual suspects include Iggy's (sticky buns + almond croissants), Swissbakers (berliners, pretzel croissants & more). Have suggestions? Let us know!",,
"Feather Brook Farm - Rabbit","Share","50","39.95","Draft","Feather Brook Farm","","1","Item","Brooklyn Boulders: Thursday Pickup|Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-kI40juMxqDI/UpDvS5YN7GI/AAAAAAAAAG8/4mlSpI-XtoI/w945-h531-no/logo+art+in+indesign.jpg","Tad from Feather Brook Farm has learned some new tricks! In addition to his incredible chicken product (a MUST try) he has now added a new specialty. Local, free-range rabbit. 

Contents: 1 Wabbit",,
"1369 Iced Coffee Growler","Share","10001","25","Draft","Something GUD","","64","ounce","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/IbEDqvkkE608NeYNpscgr3qaUE94YEvaj7jGfr8fnGk=w637-h478-no","Sign up to receive a super-fresh, 64 oz., cold-brewed iced coffee, delivered the same day it's brewed.  The first bottles you order are $23.99 each; after that, if you exchange your bottles, the price drops to $18.99.

1369 only roasts the best beans, to learn more, please visit here: http://www.1369coffeehouse.com/?page_id=114",,
"BONFIRE: Family Box (Paleo Friendly)","Share","10000","200","Draft","Something GUD","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/-KDAeoFl_PAg/UlLQoSGueBI/AAAAAAAAA9k/vD9-y6k_Z7Y/w162-h227-no/Bonfire-Health-FLAME-ONLY.jpg","This family designed paleo friendly box of the week contains a hand-picked selection of local meats, fruits, veggies, snacks. This share is consistent with the Bonfire Health diet from bonfirehealth.com and ideal for cross fitters and other paleo focused individuals.

Sign-up now for a recurring weekly home delivery. Going away from the week? Not a problem, our platform is designed to give you as much flexibility as you desire, simply put your order on hold for the week.

Additional questions? Please email info@somethinggud.com",,
"Lilac Hedge Farm (Sausage)","Share","995","9.5","Published","Lilac Hedge Farm","","1","Item","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh6.googleusercontent.com/-DgdZy3MOG0Y/UtX-wl0yD7I/AAAAAAAAAeo/5HogFk35vR4/w414-h181-no/e505ca_de2c60054d7cadac9e25089175855d72.png_srz_459_201_75_22_0.50_1.20_0+%25281%2529.jpg","Lilac Hedge Farm came about as a vision to provide local, sustainably raised meats to consumers. Started by owners Ryan MacKay and Tom Corbett, Lilac Hedge Farm focuses on meats raised responsibly with extreme attention to care, comfort, nutrition and the quality of the animals.
",,
"Lilac Hedge Farm (Ground Beef)","Share","992","8.5","Published","Lilac Hedge Farm","","1","Item","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh6.googleusercontent.com/-DgdZy3MOG0Y/UtX-wl0yD7I/AAAAAAAAAeo/5HogFk35vR4/w414-h181-no/e505ca_de2c60054d7cadac9e25089175855d72.png_srz_459_201_75_22_0.50_1.20_0+%25281%2529.jpg","Lilac Hedge Farm came about as a vision to provide local, sustainably raised meats to consumers. Started by owners Ryan MacKay and Tom Corbett, Lilac Hedge Farm focuses on meats raised responsibly with extreme attention to care, comfort, nutrition and the quality of the animals",,
"Lilac Hedge Farm (Bacon)","Share","9998","13.99","Published","Lilac Hedge Farm","","1","Liter","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh6.googleusercontent.com/-DgdZy3MOG0Y/UtX-wl0yD7I/AAAAAAAAAeo/5HogFk35vR4/w414-h181-no/e505ca_de2c60054d7cadac9e25089175855d72.png_srz_459_201_75_22_0.50_1.20_0+%25281%2529.jpg","Lilac Hedge Farm came about as a vision to provide local, sustainably raised meats to consumers. Started by owners Ryan MacKay and Tom Corbett, Lilac Hedge Farm focuses on meats raised responsibly with extreme attention to care, comfort, nutrition and the quality of the animals.",,
"Lilac Hedge Farm (BBQ Beef Sticks)","Share","999","7.99","Published","Lilac Hedge Farm","","4","Items","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh6.googleusercontent.com/-DgdZy3MOG0Y/UtX-wl0yD7I/AAAAAAAAAeo/5HogFk35vR4/w414-h181-no/e505ca_de2c60054d7cadac9e25089175855d72.png_srz_459_201_75_22_0.50_1.20_0+%25281%2529.jpg","Lilac Hedge Farm came about as a vision to provide local, sustainably raised meats to consumers. Started by owners Ryan MacKay and Tom Corbett, Lilac Hedge Farm focuses on meats raised responsibly with extreme attention to care, comfort, nutrition and the quality of the animals.",,
"Lifeforce Juice | Maintenance Option","Share","24","92","Published","Lifeforce Juice","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/J-RSd8qAenMWeuKGZcKHMCF3dD-xSRUVZlpFWtfyzHA=w656-h455-no","Learn more here! http://lifeforcejuice.com/products-page/packages/profound-health/

Life Force's special maintenance package for the New Year!

Maintenance Option
2 16 oz. Vibrant Green Juices
1 16 oz. Classic
1 16 oz. Bright Orange
1 16 oz. Wise Apple
2 Quarts Deep Mineral Tea-Infusion
1 Quarts Profound Health Tea-Infusion
1 Quart Organ Cleanse Tea-Infusion
1 16 oz. Lala Berry Smoothie",,
"Lifeforce Juice | Infusion Package","Share","23","174","Published","Lifeforce Juice","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/J-RSd8qAenMWeuKGZcKHMCF3dD-xSRUVZlpFWtfyzHA=w656-h455-no","Learn everything here: http://lifeforcejuice.com/products-page/packages/profound-health/

They have it, we got it! 

Infusion Option
3 16 oz. Vibrant Green Juices
2 16 oz. Classic
1 16 oz. Bright Orange
3 16 oz. Wise Apple
1 16 oz. Seasonal Blend Juice
2 Quarts Deep Mineral Tea-Infusion
2 Quarts Profound Health Tea-Infusion
1 Quart Organ Cleanse Tea-Infusion
1 Quart Lucid Dream Tea-Infusion
1 16 oz. Lala Berry Smoothie
1 16 oz. Greenya Colada Smoothie
1 16 oz. Carrot Cake Smoothie",,
"Lalibela Farm - Organic Tempeh","Share","9995","5.5","Published","Lalibela Farm","","8","ounce","Weekly","GUD Food Shares",,,"PHYSICAL","10","http://static.wixstatic.com/media/a1fd75_6175eb51e02396d3a28306d4e7ab0c14.jpg_srz_285_210_75_22_0.50_1.20_0.00_jpg_srz","",,
"Cuisine en Locale - Prepared Meals","Share","9998","145","Published","Cuisine en Locale","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh6.googleusercontent.com/-CJKAuvyzMMc/UgUPmsauLyI/AAAAAAAAAkA/sn55j3Rlmn0/w169-h98-no/photo.jpg","We shop local. We cook local. You eat local. ONCE a Week is a service that delivers Greater Boston's busy people a fridgeful of cooked, all-local food on weeks they need it most. A team of creative chefs come together every Monday to craft a unique menu of 8–10 entrees, sides and snacks with what's in season. Everything is made from scratch and delivered ready to heat and eat.

Please Note: Cuisine en Locale shares will be delivery on Tuesdays.",,
"More Adventurous","Option","500","0","Draft","Something GUD","","1","","Weekly","GUD Food Shares",,,"PHYSICAL","1","https://lh3.googleusercontent.com/-acYmUig6ntY/UZQMKI8uUlI/AAAAAAAAAFo/y9X4sXzB97A/w468-h274-no/fiddleheads2_1.jpg","When you select this preference, we will fill your delivery from a more adventurous range of foods. In the case that you order a non-divisible quantitiy of a particular share, we will give you the more unusual of what's available that week. For example, if you only ordered 1/2 lb of cheese, we would bring you some non-traditional stinky cheese rather than cheddar.",,
"End Of Trial Session - Choose Share to Continue","Option","9961","0","Draft","Something GUD","","0","Items","Weekly","GUD Food Shares",,,"PHYSICAL","10","/staticResource/resources/item-no-image.jpg","Thank you for trying our Trial Box!

To continue using our service please update your subscription by selection one of our shares options or by adding an item from our webstore.

Please reach out to info@somethinggud.com if you have any questions or require assistanace.",,
"More Variety","Option","500","0","Draft","Something GUD","","1","","Weekly","GUD Food Shares",,,"PHYSICAL","1","https://lh5.googleusercontent.com/-yeLWzDCy45w/UZQTFBPFswI/AAAAAAAAAGM/SPt_4hbcdJ8/w280-h189-no/Local_food_web*280.jpg","When you select this preference, we will aim to put more variety in your order. For example, instead of delivering larger quantities of only cheddar and swiss cheese, we will bring you smaller quantities of cheddar, swiss, gouda, and brie.",,
